carat,cut,color,clarity,depth,price
0.74,Ideal,I,VVS2,62.3,2761
0.81,Ideal,F,SI2,58.8,2761
0.59,Ideal,E,VVS2,62,2761
0.8,Ideal,F,SI2,61.4,2761
0.74,Ideal,E,SI2,62.2,2761
0.9,Premium,I,VS2,63,2761
0.74,Very Good,G,SI1,62.2,2762
0.73,Ideal,F,VS2,62.6,2762
0.73,Ideal,F,VS2,62.7,2762
0.8,Premium,F,SI2,61.7,2762
0.71,Ideal,G,VS2,62.4,2762
0.7,Ideal,E,VS2,60.7,2762
0.8,Ideal,F,SI2,59.9,2762
0.71,Ideal,D,SI2,62.3,2762
0.74,Ideal,E,SI1,62.3,2762
0.7,Very Good,F,VS2,61.7,2762
0.7,Fair,F,VS2,64.5,2762
0.7,Fair,F,VS2,65.3,2762
0.7,Premium,F,VS2,61.6,2762
0.91,Premium,H,SI1,61.4,2763
0.61,Very Good,D,VVS2,59.6,2763
0.91,Fair,H,SI2,64.4,2763
0.91,Fair,H,SI2,65.7,2763
0.77,Ideal,H,VS2,62,2763
0.71,Very Good,D,SI1,63.6,2764
0.71,Ideal,D,SI1,61.9,2764
0.7,Very Good,E,VS2,62.6,2765
0.77,Very Good,H,VS1,61.3,2765
0.63,Premium,E,VVS1,60.9,2765
0.71,Very Good,F,VS1,60.1,2765
0.71,Premium,F,VS1,61.8,2765
0.76,Ideal,H,SI1,61.2,2765
0.64,Ideal,G,VVS1,61.9,2766
0.71,Premium,G,VS2,60.9,2766
0.71,Premium,G,VS2,59.8,2766
0.7,Very Good,D,VS2,61.8,2767
0.7,Very Good,F,VS1,60,2767
0.71,Ideal,D,SI2,61.6,2767
0.7,Good,H,VVS2,62.1,2767
0.71,Very Good,G,VS1,63.3,2768
0.73,Very Good,D,SI1,60.2,2768
0.7,Very Good,D,SI1,61.1,2768
0.7,Ideal,E,SI1,60.9,2768
0.71,Premium,D,SI2,61.7,2768
0.74,Ideal,I,SI1,61.3,2769
0.71,Premium,D,VS2,62.5,2770
0.73,Premium,G,VS2,61.4,2770
0.76,Very Good,F,SI1,62.9,2770
0.76,Ideal,D,SI2,62.4,2770
0.71,Ideal,F,SI1,60.7,2770
0.73,Premium,G,VS2,60.7,2770
0.73,Premium,G,VS1,61.5,2770
0.73,Ideal,D,SI2,59.9,2770
0.73,Premium,G,VS2,59.2,2770
0.72,Very Good,H,VVS2,60.3,2771
0.73,Very Good,F,SI1,61.7,2771
0.71,Ideal,G,VS2,61.9,2771
0.79,Ideal,F,SI2,61.9,2771
0.73,Very Good,H,VVS1,60.4,2772
0.8,Very Good,F,SI2,61,2772
0.58,Ideal,G,VVS1,61.5,2772
0.58,Ideal,F,VVS1,61.7,2772
0.71,Good,E,VS2,59.2,2772
0.75,Ideal,D,SI2,61.3,2773
0.7,Premium,D,VS2,58,2773
1.17,Very Good,J,I1,60.2,2774
0.6,Ideal,E,VS1,61.7,2774
0.7,Ideal,E,SI1,62.7,2774
0.83,Good,I,VS2,64.6,2774
0.74,Very Good,F,VS2,61.3,2775
0.72,Very Good,G,VS2,63.7,2776
0.71,Premium,E,VS2,62.7,2776
0.71,Ideal,E,VS2,62.2,2776
0.54,Ideal,E,VVS2,61.6,2776
0.54,Ideal,E,VVS2,61.5,2776
0.72,Ideal,G,SI1,61.8,2776
0.72,Ideal,G,SI1,60.7,2776
0.72,Good,G,VS2,59.7,2776
0.71,Ideal,G,SI1,60.5,2776
0.7,Very Good,D,VS1,62.7,2777
0.71,Premium,F,VS2,62.1,2777
0.71,Very Good,F,VS2,62.8,2777
0.71,Good,F,VS2,63.8,2777
0.71,Good,F,VS2,57.8,2777
0.7,Ideal,E,VS2,62.1,2777
0.7,Premium,E,VS2,61.1,2777
0.7,Premium,E,SI1,60,2777
0.7,Premium,E,SI1,61.2,2777
0.7,Premium,E,SI1,62.7,2777
0.7,Premium,E,SI1,61,2777
0.7,Premium,E,SI1,61,2777
0.7,Ideal,E,SI1,61.4,2777
0.72,Premium,F,SI1,61.8,2777
0.7,Very Good,E,SI1,59.9,2777
0.7,Premium,E,SI1,61.3,2777
0.7,Premium,E,SI1,60.5,2777
0.7,Good,E,VS2,64.1,2777
0.98,Fair,H,SI2,67.9,2777
0.78,Premium,F,SI1,62.4,2777
0.7,Very Good,E,SI1,63.2,2777
0.52,Ideal,F,VVS1,61.3,2778
0.73,Very Good,H,VS2,60.8,2779
0.74,Ideal,E,SI1,61.7,2779
0.7,Very Good,F,VS2,63.6,2780
0.77,Premium,G,VS2,61.2,2780
0.71,Ideal,F,VS2,62.1,2780
0.74,Ideal,G,VS1,61.5,2780
0.7,Ideal,G,VS1,61.4,2780
1.01,Premium,F,I1,61.8,2781
0.77,Ideal,H,SI1,62.2,2781
0.78,Ideal,H,SI1,61.2,2781
0.72,Very Good,H,VS1,60.6,2782
0.53,Very Good,D,VVS2,57.5,2782
0.76,Ideal,G,VS2,61.3,2782
0.7,Good,E,VS1,57.2,2782
0.7,Premium,E,VS1,62.9,2782
0.75,Very Good,D,SI2,63.1,2782
0.72,Ideal,D,SI1,60.8,2782
0.72,Premium,D,SI1,62.7,2782
0.7,Premium,D,SI1,62.8,2782
0.84,Fair,G,SI1,55.1,2782
0.75,Premium,F,SI1,61.4,2782
0.52,Ideal,F,IF,62.2,2783
0.72,Very Good,F,VS2,63,2784
0.79,Very Good,H,VS1,63.7,2784
0.72,Very Good,F,VS2,63.6,2787
0.51,Ideal,F,VVS1,62,2787
0.64,Ideal,D,VS1,61.5,2787
0.7,Very Good,H,VVS1,60.5,2788
0.83,Very Good,I,VS1,61.1,2788
0.76,Ideal,I,VVS2,61.8,2788
0.71,Good,D,VS2,63.3,2788
0.77,Good,G,VS1,59.4,2788
0.71,Ideal,F,SI1,62.5,2788
1.01,Fair,E,I1,64.5,2788
1.01,Premium,H,SI2,62.7,2788
0.77,Good,F,SI1,64.2,2789
0.76,Good,E,SI1,63.7,2789
0.76,Premium,E,SI1,60.4,2789
0.76,Premium,E,SI1,61.8,2789
1.05,Very Good,J,SI2,63.2,2789
0.81,Ideal,G,SI2,61.6,2789
0.7,Ideal,E,SI1,61.6,2789
0.55,Ideal,G,IF,60.9,2789
0.81,Good,G,SI2,61,2789
0.63,Premium,E,VVS2,62.1,2789
0.63,Premium,E,VVS1,60.9,2789
0.77,Premium,H,VS1,61.3,2789
1.05,Fair,J,SI2,65.8,2789
0.64,Ideal,G,IF,61.3,2790
0.76,Premium,I,VVS1,58.8,2790
0.83,Ideal,F,SI2,62.3,2790
0.71,Premium,F,VS1,60.1,2790
0.71,Premium,F,VS1,61.8,2790
0.87,Very Good,I,SI1,63.6,2791
0.73,Ideal,E,SI1,62.2,2791
0.71,Premium,E,SI1,59.2,2792
0.71,Premium,E,SI1,61.8,2792
0.71,Ideal,E,SI1,61.3,2792
0.7,Premium,F,VS1,62.1,2792
0.7,Premium,F,VS1,60.7,2792
0.76,Premium,H,VVS2,59.6,2792
0.7,Ideal,F,VS1,62.2,2792
0.79,Very Good,G,SI1,60.6,2793
0.7,Very Good,E,VS2,62.9,2793
0.7,Good,E,VS2,64.1,2793
0.76,Ideal,I,VS2,61.3,2793
0.73,Ideal,H,VS2,62.7,2793
0.79,Very Good,E,SI1,63.2,2794
0.71,Very Good,E,VS2,60.7,2795
0.81,Premium,I,VVS2,61.9,2795
0.81,Ideal,F,SI2,62.6,2795
0.72,Good,F,VS1,60.7,2795
0.72,Premium,D,SI2,62,2795
0.72,Premium,I,IF,63,2795
0.81,Premium,H,VS2,58,2795
0.72,Premium,G,VS2,62.9,2795
1,Premium,I,SI2,58.2,2795
0.73,Good,E,SI1,63.2,2796
0.81,Very Good,H,SI2,61.3,2797
0.81,Very Good,E,SI1,60.3,2797
0.71,Premium,D,SI1,62.7,2797
0.71,Premium,D,SI1,61.3,2797
0.71,Premium,D,SI1,61.6,2797
0.57,Ideal,F,VVS2,61.9,2797
0.51,Ideal,D,VVS1,61.7,2797
0.72,Ideal,G,VS2,61.9,2797
0.74,Ideal,H,VS1,61.8,2797
0.74,Ideal,H,VS1,61.6,2797
0.7,Fair,G,VVS1,58.8,2797
0.8,Premium,F,SI2,61,2797
1.01,Fair,E,SI2,67.4,2797
0.8,Very Good,H,VS2,63.4,2797
0.77,Ideal,I,VS1,61.5,2798
0.83,Very Good,E,SI2,58,2799
0.82,Ideal,F,SI2,62.4,2799
0.78,Ideal,D,SI1,61.9,2799
0.6,Very Good,G,IF,61.6,2800
0.9,Good,I,SI2,62.2,2800
0.7,Premium,E,VS1,62.2,2800
0.9,Very Good,I,SI2,61.3,2800
0.83,Ideal,G,SI1,62.3,2800
0.83,Ideal,G,SI1,61.8,2800
0.83,Very Good,H,SI1,62.5,2800
0.74,Premium,G,VS1,62.9,2800
0.79,Ideal,I,VS1,61.8,2800
0.61,Ideal,G,IF,62.3,2800
0.76,Fair,G,VS1,59,2800
0.96,Ideal,F,I1,60.7,2801
0.73,Ideal,F,VS2,62.5,2801
0.73,Premium,F,VS2,62.7,2801
0.75,Ideal,H,SI1,60.4,2801
0.71,Premium,F,VS2,62.1,2801
0.71,Good,F,VS2,57.8,2801
0.71,Good,F,VS2,63.8,2801
0.71,Premium,F,VS2,62.8,2801
1.04,Premium,G,I1,62.2,2801
1,Premium,J,SI2,62.3,2801
0.87,Very Good,G,SI2,59.9,2802
0.53,Ideal,F,IF,61.9,2802
0.72,Premium,E,VS2,63,2802
0.72,Premium,F,VS1,62.4,2802
0.7,Very Good,F,VS2,62.9,2803
0.74,Very Good,E,SI1,63.5,2803
0.71,Ideal,G,VS2,61.3,2803
0.73,Ideal,E,SI1,60.6,2803
0.7,Good,G,VS1,65.1,2803
0.71,Premium,F,VS2,62.6,2803
0.71,Premium,F,VS2,58,2803
0.71,Premium,G,VS1,62.4,2803
0.77,Premium,G,VS2,61.3,2803
0.71,Premium,G,VS2,59.9,2803
0.78,Premium,G,VS2,60.8,2803
0.71,Very Good,G,VS1,63.5,2803
0.91,Ideal,D,SI2,62.2,2803
0.71,Very Good,E,VS2,63.8,2804
0.71,Very Good,E,VS2,64,2804
0.8,Very Good,E,SI2,62.5,2804
0.7,Very Good,D,SI1,62.3,2804
0.72,Ideal,F,VS1,61.7,2804
0.72,Very Good,F,VS1,62.2,2804
0.82,Ideal,H,VS2,61.5,2804
0.7,Ideal,D,SI1,61,2804
0.72,Ideal,D,SI1,62.2,2804
0.72,Ideal,D,SI1,61.5,2804
0.9,Fair,I,SI1,67.3,2804
0.74,Premium,F,VS2,61.7,2805
0.74,Premium,F,VS2,61.9,2805
0.73,Ideal,E,SI2,61.8,2805
0.57,Fair,E,VVS1,58.7,2805
0.73,Premium,F,VS2,62.5,2805
0.72,Ideal,G,VS2,62.8,2805
0.74,Fair,F,VS2,61.1,2805
0.82,Good,G,VS2,64,2805
0.81,Very Good,G,SI1,62.5,2806
0.75,Very Good,H,VVS1,60.6,2806
0.7,Ideal,F,SI1,61.6,2806
0.71,Very Good,F,VS1,62.2,2807
0.71,Very Good,F,VS1,60,2807
0.93,Premium,J,SI2,61.9,2807
0.8,Very Good,H,VS2,62.8,2808
0.7,Very Good,F,VS1,62,2808
1,Fair,G,I1,66.4,2808
0.75,Very Good,G,VS2,63.4,2808
0.58,Ideal,E,VVS2,60.9,2808
0.73,Very Good,D,SI1,63.1,2808
0.81,Very Good,F,SI1,63.1,2809
0.81,Premium,D,SI2,59.2,2809
0.71,Premium,F,SI1,60.7,2809
1.2,Fair,F,I1,64.6,2809
0.7,Very Good,F,VS1,61.8,2810
0.7,Very Good,F,VS1,59.9,2810
0.74,Ideal,D,SI2,61.7,2810
0.7,Good,F,VS1,62.8,2810
0.8,Good,G,SI1,62.7,2810
0.75,Very Good,F,SI1,63.4,2811
0.83,Very Good,D,SI1,63.5,2811
1,Fair,J,VS2,65.7,2811
0.99,Fair,I,SI2,68.1,2811
0.7,Very Good,G,VS1,63,2812
0.7,Very Good,F,VS2,59.5,2812
0.7,Good,E,SI1,63.5,2812
0.7,Very Good,F,VS2,61.7,2812
0.32,Premium,I,SI1,62.7,554
0.32,Premium,I,SI1,62.8,554
0.32,Ideal,I,SI1,62.4,554
0.32,Premium,I,SI1,61,554
0.32,Very Good,I,SI1,63.1,554
0.32,Ideal,I,SI1,60.7,554
0.3,Premium,H,SI1,60.9,554
0.3,Premium,H,SI1,60.1,554
0.3,Premium,H,SI1,62.9,554
0.3,Very Good,H,SI1,63.3,554
0.3,Good,H,SI1,63.8,554
0.3,Ideal,H,SI1,62.9,554
0.3,Very Good,H,SI1,63.4,554
0.32,Good,I,SI1,63.9,554
0.33,Ideal,H,SI2,61.4,554
0.29,Very Good,E,VS1,61.9,555
0.29,Very Good,E,VS1,62.4,555
0.31,Very Good,F,SI1,61.8,555
0.34,Ideal,H,VS2,61.5,555
0.34,Ideal,H,VS2,60.4,555
0.34,Ideal,I,VS1,61.8,555
0.34,Ideal,I,VS1,62,555
0.3,Ideal,G,VS1,62.3,555
0.29,Ideal,F,VS1,61.6,555
0.35,Ideal,G,SI1,60.6,555
0.43,Very Good,E,I1,58.4,555
0.32,Very Good,F,VS2,61.4,556
0.36,Ideal,I,VS2,61.9,556
0.3,Ideal,G,VS2,62,556
0.26,Ideal,E,VS1,61.5,556
0.7,Very Good,F,VS2,62.3,2812
0.7,Very Good,F,VS2,60.9,2812
0.71,Ideal,D,SI1,62.4,2812
0.99,Fair,J,SI1,55,2812
0.73,Premium,E,VS2,58.6,2812
0.51,Ideal,F,VVS1,62,2812
0.91,Premium,G,SI2,59.8,2813
0.84,Very Good,E,SI1,63.4,2813
0.91,Good,I,VS2,64.3,2813
0.76,Premium,E,SI1,62.2,2814
0.76,Ideal,E,SI1,61.7,2814
0.75,Premium,E,SI1,61.1,2814
0.55,Very Good,D,VVS1,61.5,2815
0.76,Very Good,F,SI2,58.5,2815
0.74,Premium,G,VS1,61.7,2815
0.7,Ideal,H,SI1,60.4,2815
0.7,Ideal,H,SI1,61.4,2815
0.7,Ideal,H,SI1,61.5,2815
0.7,Ideal,H,SI1,61.4,2815
0.9,Fair,J,VS2,65,2815
0.95,Fair,F,SI2,56,2815
0.89,Premium,H,SI2,60.2,2815
0.72,Premium,E,VS2,58.3,2815
0.96,Fair,E,SI2,53.1,2815
1.02,Premium,G,I1,60.3,2815
0.78,Very Good,I,VVS2,61.4,2816
0.61,Ideal,G,VVS2,60.1,2816
0.71,Good,D,VS1,63.4,2816
0.78,Premium,F,SI1,61.5,2816
0.87,Ideal,H,SI2,62.7,2816
0.83,Ideal,H,SI1,62.5,2816
0.71,Premium,E,SI1,61.3,2817
0.71,Ideal,I,VVS2,60.2,2817
0.71,Ideal,E,VS2,62.7,2817
0.71,Premium,E,VS2,62.3,2817
0.63,Ideal,F,VVS2,61.5,2817
0.71,Premium,E,SI1,59.2,2817
0.71,Premium,E,SI1,61.8,2817
0.71,Ideal,E,SI1,61.3,2817
0.71,Premium,E,SI1,61.4,2817
0.9,Ideal,J,VS2,62.8,2817
0.71,Good,E,SI1,62.8,2817
0.7,Premium,E,VS2,62.4,2818
0.7,Premium,E,VS2,59.3,2818
0.7,Premium,E,VS2,63,2818
1,Premium,H,I1,61.3,2818
0.86,Premium,F,SI2,59.3,2818
0.8,Ideal,H,SI1,61,2818
0.7,Ideal,E,VS1,62.9,2818
0.7,Premium,E,VS1,59.6,2818
0.7,Premium,F,VS2,61.8,2818
0.7,Premium,E,VS1,62.7,2818
1,Fair,H,SI2,65.3,2818
0.72,Very Good,G,VS1,63.8,2819
0.72,Ideal,H,VS1,62.3,2819
0.7,Good,F,VS1,59.7,2819
0.86,Good,F,SI2,64.3,2819
0.71,Ideal,G,VS1,62.9,2820
0.75,Ideal,E,SI1,62,2821
0.73,Premium,E,VS2,61.6,2821
0.53,Ideal,E,VVS1,61.9,2821
0.73,Premium,E,SI1,61.3,2821
0.73,Good,E,SI1,63.6,2821
0.73,Premium,E,SI1,59.6,2821
0.73,Premium,E,SI1,62.2,2821
0.73,Premium,D,SI1,61.7,2821
0.73,Very Good,E,SI1,63.2,2821
0.7,Premium,E,VS1,60.8,2822
0.72,Premium,E,VS2,60.3,2822
0.72,Premium,E,VS2,60.9,2822
0.72,Premium,E,VS2,62.4,2822
0.7,Premium,E,VS2,60.2,2822
0.6,Ideal,F,VVS2,62,2822
0.74,Ideal,I,VVS1,60.8,2822
0.73,Ideal,F,SI1,62.1,2822
0.71,Premium,D,SI1,62.7,2822
0.71,Premium,D,SI1,61.3,2822
0.7,Premium,D,SI1,60.2,2822
0.7,Ideal,D,SI1,60.7,2822
0.9,Good,J,VS2,64,2822
0.71,Ideal,D,SI1,60.2,2822
0.7,Premium,E,VS2,61.5,2822
0.7,Premium,E,VS2,62.6,2822
0.7,Ideal,D,SI1,59.7,2822
0.7,Good,E,SI1,61.4,2822
0.7,Ideal,D,SI1,62.5,2822
0.7,Ideal,D,SI1,61.8,2822
0.7,Premium,E,VS2,60.7,2822
0.7,Premium,F,VS2,60.6,2822
0.7,Ideal,D,SI1,61.4,2822
0.79,Very Good,D,SI2,62.8,2823
0.9,Good,I,SI1,63.8,2823
0.71,Premium,E,VS2,62.3,2823
0.61,Ideal,E,VVS2,61.3,2823
0.9,Fair,H,SI2,65.8,2823
0.71,Ideal,E,SI1,60.5,2823
0.71,Premium,D,VS2,61.2,2824
0.77,Ideal,I,VVS2,62.1,2824
0.74,Good,E,VS1,63.1,2824
0.82,Ideal,F,SI2,62.4,2824
0.82,Premium,E,SI2,60.8,2824
0.71,Premium,G,VS1,62.2,2825
0.83,Premium,H,SI1,60,2825
0.73,Very Good,G,VS1,62,2825
0.83,Premium,H,SI1,62.5,2825
1.17,Premium,J,I1,60.2,2825
0.91,Fair,H,SI2,61.3,2825
0.73,Premium,E,VS1,62.6,2826
0.7,Good,E,VS1,57.2,2826
0.9,Premium,I,SI2,62.2,2826
0.7,Premium,E,VS1,62.2,2826
0.7,Very Good,D,VS2,63.3,2826
0.7,Premium,E,VS1,59.4,2826
0.9,Very Good,I,SI2,63.5,2826
0.78,Premium,F,SI1,60.8,2826
0.96,Ideal,F,I1,60.7,2826
0.7,Very Good,D,SI1,62.3,2827
0.72,Good,D,VS2,64,2827
0.79,Premium,H,VVS2,62.6,2827
0.7,Ideal,H,VVS1,61.6,2827
0.7,Ideal,H,VVS1,62.3,2827
0.7,Ideal,D,SI2,60.6,2828
1.01,Premium,H,SI2,61.6,2828
0.72,Premium,F,VS1,62.2,2829
0.8,Good,E,SI2,63.7,2829
0.59,Ideal,E,VVS1,62,2829
0.72,Ideal,F,VS1,61.7,2829
0.75,Premium,E,SI2,61.9,2829
0.8,Premium,E,SI2,60.2,2829
0.71,Very Good,E,VS2,62.7,2830
0.77,Very Good,H,SI1,61.7,2830
0.97,Ideal,F,I1,60.7,2830
0.53,Ideal,F,VVS1,60.9,2830
0.53,Ideal,F,VVS1,61.8,2830
0.8,Ideal,I,VS2,62.1,2830
0.9,Premium,G,SI1,60.6,2830
0.76,Very Good,E,SI2,60.8,2831
0.72,Ideal,E,SI1,62.3,2831
0.75,Ideal,E,SI1,61.4,2831
0.72,Premium,E,SI1,62.1,2831
0.79,Ideal,G,SI1,61.8,2831
0.72,Very Good,F,VS2,62.5,2832
0.91,Very Good,I,SI2,62.8,2832
0.71,Premium,G,VVS2,62.1,2832
0.81,Premium,G,SI1,63,2832
0.82,Ideal,H,SI1,62.5,2832
0.71,Premium,F,VS1,62.2,2832
0.9,Good,J,SI1,64.3,2832
0.8,Very Good,I,VS2,62,2833
0.56,Very Good,E,IF,61,2833
0.7,Very Good,D,VS2,59.6,2833
0.7,Ideal,D,VS2,61,2833
0.61,Ideal,F,VVS2,61.7,2833
0.85,Ideal,H,SI2,62.5,2833
0.7,Ideal,F,SI1,60.7,2833
0.8,Ideal,G,VS2,62.2,2834
0.8,Ideal,H,VS2,62.8,2834
0.51,Very Good,D,VVS1,59.9,2834
0.53,Ideal,F,VVS1,61.4,2834
0.78,Ideal,I,VS2,61.8,2834
0.9,Very Good,J,SI1,63.4,2834
0.9,Fair,G,SI2,65.3,2834
0.77,Ideal,E,SI2,60.7,2834
0.73,Ideal,F,VS1,61.2,2835
0.63,Ideal,F,VVS2,61.9,2835
0.7,Ideal,E,VS2,61.5,2835
